"Id","item_id","class","name"
"1","02000000","consume","红色药水"
"2","02000001","consume","橙色药水"
"3","02000002","consume","白色药水"
"4","02000003","consume","蓝色药水"
"5","02010000","consume","苹果"
"6","02010009","consume","青苹果"
"7","02022253","consume","蘑菇棒棒糖"
"8","04000000","material","蓝色蜗牛壳"
"9","04000001","material","花蘑菇盖"
"10","04000011","material","蘑菇芽孢"
"11","04000016","material","红色蜗牛壳"
"12","04000019","material","绿色蜗牛壳"
"13","04000642","material","变异的蜗牛壳"
"14","04000643","material","变异的蘑菇盖"
"15","04031792","material","蘑菇棒棒糖"
"16","100000001","material","特殊小石球的碎片"
"17","100000002","consume","测试员用棒棒糖"
"18","100000003","consume","罗杰的苹果"
"19","100000004","material","番茄袋"
"20","04000010","material","绿水灵珠"
"21","01302007","equip","大剑"
"22","01302120","equip","剑"
"23","01312004","equip","小斧"
"24","01322005","equip","棍棒"
"25","01332005","equip","刮胡刀"
"26","01332007","equip","短刀"
"27","01040002","equip","白棉T恤"
"28","01040006","equip","白色背心"
"29","01040010","equip","灰棉T恤"
"30","01041002","equip","白色无袖短T"
"31","01041006","equip","黄色短T"
"32","01041010","equip","绿色短T"
"33","01041011","equip","红线无袖衫"
"34","01060001","equip","没名字"
"35","01060002","equip","蓝牛仔短裤"
"36","01060006","equip","黄牛仔短裤"
"37","01061002","equip","红超短裙"
"38","01061008","equip","蓝超短裙"
"39","01072001","equip","红橡胶长靴"
"40","01072005","equip","皮制凉鞋"
"41","01072037","equip","黄橡胶长靴"
"42","01072038","equip","蓝橡胶长靴"
"43","0","coin","没名字"
"44","04000003","material","树枝"
"45","04000004","material","绿液球"
"46","04000017","material","猪头"
"47","04000021","material","动物皮"
"48","04000002","material","蝴蝶结"
"49","04000039","material","铁甲猪的铁蹄"
"50","01442012","equip","天空雪板"
"51","04000006","material","三眼章鱼触角"
"52","04000009","material","蓝蘑菇盖"
"53","04000012","material","绿蘑菇盖"
"54","04000029","material","香蕉"
"55","02070000","consume","海星镖"
"56","02501000","consume","能力点初始化卷轴"
"57","01312000","equip","双刃斧"
"58","01472000","equip","拳套"
"59","01041104","fashion","女青年装"
"60","01040027","fashion","男青年装"
"61","01042018","fashion","爱心T恤"
"62","01040101","fashion","骷髅T恤"
"63","01041125","fashion","彩虹衫"
"64","01042032","fashion","黄蜘蛛衫"
"65","01042036","fashion","红色冬恋大衣"
"66","01042037","fashion","白色冬恋大衣"
"67","01042038","fashion","红运动衫"
"68","01042000","fashion","朱红连帽坎肩"
"69","01062015","fashion","个性牛仔裤"
"70","01060108","fashion","长短裤"
"71","01061113","fashion","夏威夷草裙"
"72","01061124","fashion","粉红线内服"
"73","01062003","fashion","红色街舞裤"
"74","01062005","fashion","蓝色街舞裤"
"75","01062031","fashion","黄格子裤"
"76","01062032","fashion","荒野枪手中裤"
"77","01062033","fashion","红方格子裤"
"78","01062034","fashion","白方格子裤"
"79","01072111","fashion","黑皮中靴"
"80","01070003","fashion","波斯靴"
"81","01071009","fashion","高脚登山靴(红)"
"82","01070004","fashion","高脚登山靴(蓝)"
"83","01071002","fashion","花少女鞋子"
"84","01071003","fashion","圣诞鞋"
"85","01071007","fashion","兔兔鞋"
"86","01070001","fashion","黑圣诞鞋"
"87","01072176","fashion","军靴"
"88","01072189","fashion","兔兔拖"
"89","01072153","fashion","透明鞋"
"90","02060000","consume","弓矢"
"91","02060001","consume","青铜弓矢"
"92","02060002","consume","钢铁弓矢"
"93","02061000","consume","弩矢"
"94","02061001","consume","青铜弩矢"
"95","02061002","consume","钢铁弩矢"
"96","01452002","equip","长弓"
"97","04000018","material","木块"
"98","02500000","consume","技能点初始化卷轴"
"99","01072017","equip","蓝多罗鞋"
"100","01072062","equip","红多罗鞋"
"101","01072063","equip","褐多罗鞋"
"102","01062000","equip","白牛仔裤"
"103","01062001","equip","蓝牛仔裤"
"104","01072008","equip","褐短鞋"
"105","01072048","equip","黄短鞋"
