"Id","pool","stat_type","stat_name","value","show_value","grade","weight","enabled"
"1","low","str","力量","40","40","SS","100","1"
"2","low","str","力量","30","30","S","1000","1"
"3","low","str","力量","20","20","A","5000","1"
"4","low","str","力量","15","15","B","50000","1"
"5","low","str","力量","10","10","C","50000","1"
"6","low","str","力量","5","5","D","50000","1"
"7","low","dex","敏捷","40","40","SS","100","1"
"8","low","dex","敏捷","30","30","S","1000","1"
"9","low","dex","敏捷","20","20","A","5000","1"
"10","low","dex","敏捷","15","15","B","50000","1"
"11","low","dex","敏捷","10","10","C","50000","1"
"12","low","dex","敏捷","5","5","D","50000","1"
"13","low","int","智力","40","40","SS","100","1"
"14","low","int","智力","30","30","S","1000","1"
"15","low","int","智力","20","20","A","5000","1"
"16","low","int","智力","15","15","B","50000","1"
"17","low","int","智力","10","10","C","50000","1"
"18","low","int","智力","5","5","D","50000","1"
"19","low","luk","运气","40","40","SS","100","1"
"20","low","luk","运气","30","30","S","1000","1"
"21","low","luk","运气","20","20","A","5000","1"
"22","low","luk","运气","15","15","B","50000","1"
"23","low","luk","运气","10","10","C","50000","1"
"24","low","luk","运气","5","5","D","50000","1"
"25","low","acc","命中","40","40","SS","100","1"
"26","low","acc","命中","30","30","S","1000","1"
"27","low","acc","命中","20","20","A","5000","1"
"28","low","acc","命中","15","15","B","50000","1"
"29","low","acc","命中","10","10","C","50000","1"
"30","low","acc","命中","5","5","D","50000","1"
"31","low","eva","回避","40","40","SS","100","1"
"32","low","eva","回避","30","30","S","1000","1"
"33","low","eva","回避","20","20","A","5000","1"
"34","low","eva","回避","15","15","B","50000","1"
"35","low","eva","回避","10","10","C","50000","1"
"36","low","eva","回避","5","5","D","50000","1"
"37","low","move","移速","0.4","0.4","SS","100","1"
"38","low","move","移速","0.3","0.3","S","1000","1"
"39","low","move","移速","0.25","0.25","A","5000","1"
"40","low","move","移速","0.2","0.2","B","50000","1"
"41","low","move","移速","0.15","0.15","C","50000","1"
"42","low","move","移速","0.1","0.1","D","50000","1"
"43","low","cri","暴击率","0.03","3%","SS","10","1"
"44","low","cri","暴击率","0.02","2%","S","100","1"
"45","low","cri","暴击率","0.01","1%","A","500","1"
"46","low","cri","暴击率","0.006","0.6%","B","2000","1"
"47","low","cri","暴击率","0.004","0.4%","C","2000","1"
"48","low","cri","暴击率","0.002","0.2%","D","2000","1"
"49","low","cridmg","暴击伤害","0.05","5%","SS","5","1"
"50","low","cridmg","暴击伤害","0.03","3%","S","50","1"
"51","low","cridmg","暴击伤害","0.02","2%","A","250","1"
"52","low","cridmg","暴击伤害","0.01","1%","B","1000","1"
"53","low","cridmg","暴击伤害","0.005","0.5%","C","1000","1"
"54","low","cridmg","暴击伤害","0.002","0.2%","D","1000","1"
"55","mid","str","力量","40","40","SS","0","1"
"56","mid","str","力量","30","30","S","0","1"
"57","mid","str","力量","20","20","A","0","1"
"58","mid","str","力量","15","15","B","0","1"
"59","mid","str","力量","10","10","C","0","1"
"60","mid","str","力量","5","5","D","0","1"
"61","mid","dex","敏捷","40","40","SS","0","1"
"62","mid","dex","敏捷","30","30","S","0","1"
"63","mid","dex","敏捷","20","20","A","0","1"
"64","mid","dex","敏捷","15","15","B","0","1"
"65","mid","dex","敏捷","10","10","C","0","1"
"66","mid","dex","敏捷","5","5","D","0","1"
"67","mid","int","智力","40","40","SS","0","1"
"68","mid","int","智力","30","30","S","0","1"
"69","mid","int","智力","20","20","A","0","1"
"70","mid","int","智力","15","15","B","0","1"
"71","mid","int","智力","10","10","C","0","1"
"72","mid","int","智力","5","5","D","0","1"
"73","mid","luk","运气","40","40","SS","0","1"
"74","mid","luk","运气","30","30","S","0","1"
"75","mid","luk","运气","20","20","A","0","1"
"76","mid","luk","运气","15","15","B","0","1"
"77","mid","luk","运气","10","10","C","0","1"
"78","mid","luk","运气","5","5","D","0","1"
"79","mid","acc","命中","40","40","SS","0","1"
"80","mid","acc","命中","30","30","S","0","1"
"81","mid","acc","命中","20","20","A","0","1"
"82","mid","acc","命中","15","15","B","0","1"
"83","mid","acc","命中","10","10","C","0","1"
"84","mid","acc","命中","5","5","D","0","1"
"85","mid","eva","回避","40","40","SS","0","1"
"86","mid","eva","回避","30","30","S","0","1"
"87","mid","eva","回避","20","20","A","0","1"
"88","mid","eva","回避","15","15","B","0","1"
"89","mid","eva","回避","10","10","C","0","1"
"90","mid","eva","回避","5","5","D","0","1"
"91","mid","move","移速","0.4","0.4","SS","0","1"
"92","mid","move","移速","0.3","0.3","S","0","1"
"93","mid","move","移速","0.25","0.25","A","0","1"
"94","mid","move","移速","0.2","0.2","B","0","1"
"95","mid","move","移速","0.15","0.15","C","0","1"
"96","mid","move","移速","0.1","0.1","D","0","1"
"97","mid","cri","暴击率","0.03","3%","SS","30","1"
"98","mid","cri","暴击率","0.02","2%","S","300","1"
